Year,Search_Topic_ID,Search_Topic,KW,TI,TS
1976,4,Elevated-Temperature in Electrochemistry,2,2,16
1976,5,Elevated-Temperature Electrochemical Manufacturing,0,0,4
1976,6,Ionic Liquids (All),0,0,274
1976,7,ILs in Electrochemistry,0,0,17
1976,8,ILs in Electrochemical Manufacturing,0,0,2
1977,0,Electrochemistry,900,894,2560
1977,1,Electrochemical Manufacturing,30,30,292
1977,2,Temperature in Electrochemistry,16,15,193
1977,3,Temperature in Electrochemical Manufacturing,0,0,31
1977,4,Elevated-Temperature in Electrochemistry,4,4,18
1977,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1977,6,Ionic Liquids (All),0,0,230
1977,7,ILs in Electrochemistry,0,0,28
1978,0,Electrochemistry,980,979,2702
1978,1,Electrochemical Manufacturing,43,43,338
1978,2,Temperature in Electrochemistry,14,14,185
1978,3,Temperature in Electrochemical Manufacturing,0,0,38
1978,4,Elevated-Temperature in Electrochemistry,3,3,18
1978,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1978,6,Ionic Liquids (All),0,0,248
1978,7,ILs in Electrochemistry,0,0,29
1978,8,ILs in Electrochemical Manufacturing,0,0,3
1979,0,Electrochemistry,1025,1025,2674
1979,1,Electrochemical Manufacturing,51,51,346
1979,2,Temperature in Electrochemistry,20,20,194
1979,3,Temperature in Electrochemical Manufacturing,0,0,34
1979,4,Elevated-Temperature in Electrochemistry,4,4,24
1979,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1979,6,Ionic Liquids (All),0,0,241
1979,7,ILs in Electrochemistry,0,0,27
1980,0,Electrochemistry,1156,1156,3025
1980,1,Electrochemical Manufacturing,48,48,394
1980,2,Temperature in Electrochemistry,18,18,203
1980,3,Temperature in Electrochemical Manufacturing,0,0,39
1980,4,Elevated-Temperature in Electrochemistry,2,2,22
1980,5,Elevated-Temperature Electrochemical Manufacturing,0,0,7
1980,6,Ionic Liquids (All),0,0,283
1980,7,ILs in Electrochemistry,0,0,25
1980,8,ILs in Electrochemical Manufacturing,0,0,3
1981,0,Electrochemistry,1197,1197,3199
1981,1,Electrochemical Manufacturing,62,62,468
1981,2,Temperature in Electrochemistry,15,15,277
1981,3,Temperature in Electrochemical Manufacturing,0,0,80
1981,4,Elevated-Temperature in Electrochemistry,2,2,35
1981,5,Elevated-Temperature Electrochemical Manufacturing,0,0,12
1981,6,Ionic Liquids (All),0,0,358
1981,7,ILs in Electrochemistry,0,0,28
1981,8,ILs in Electrochemical Manufacturing,0,0,4
1982,0,Electrochemistry,1461,1461,3571
1982,1,Electrochemical Manufacturing,62,62,487
1982,2,Temperature in Electrochemistry,15,15,272
1982,3,Temperature in Electrochemical Manufacturing,1,1,65
1982,4,Elevated-Temperature in Electrochemistry,2,2,31
1982,5,Elevated-Temperature Electrochemical Manufacturing,0,0,12
1982,6,Ionic Liquids (All),0,0,311
1982,7,ILs in Electrochemistry,0,0,17
1982,8,ILs in Electrochemical Manufacturing,0,0,1
1983,0,Electrochemistry,1572,1572,3801
1983,1,Electrochemical Manufacturing,76,76,537
1983,2,Temperature in Electrochemistry,31,31,298
1983,3,Temperature in Electrochemical Manufacturing,0,0,78
1983,4,Elevated-Temperature in Electrochemistry,4,4,30
1983,5,Elevated-Temperature Electrochemical Manufacturing,0,0,8
1983,6,Ionic Liquids (All),0,0,432
1983,7,ILs in Electrochemistry,0,0,32
1983,8,ILs in Electrochemical Manufacturing,0,0,5
1984,0,Electrochemistry,1567,1567,4016
1984,1,Electrochemical Manufacturing,68,68,505
1984,2,Temperature in Electrochemistry,22,22,284
1984,3,Temperature in Electrochemical Manufacturing,0,0,53
1984,4,Elevated-Temperature in Electrochemistry,7,7,28
1984,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1984,6,Ionic Liquids (All),0,0,414
1984,7,ILs in Electrochemistry,0,0,36
1984,8,ILs in Electrochemical Manufacturing,0,0,8
1985,0,Electrochemistry,1497,1497,4333
1985,1,Electrochemical Manufacturing,89,89,612
1985,2,Temperature in Electrochemistry,20,20,339
1985,3,Temperature in Electrochemical Manufacturing,3,3,70
1985,4,Elevated-Temperature in Electrochemistry,5,5,35
1985,5,Elevated-Temperature Electrochemical Manufacturing,1,1,3
1985,6,Ionic Liquids (All),0,0,419
1985,7,ILs in Electrochemistry,0,0,22
1985,8,ILs in Electrochemical Manufacturing,0,0,1
1986,0,Electrochemistry,1634,1632,4518
1986,1,Electrochemical Manufacturing,78,78,569
1986,2,Temperature in Electrochemistry,26,26,329
1986,3,Temperature in Electrochemical Manufacturing,1,1,62
1986,4,Elevated-Temperature in Electrochemistry,2,2,33
1986,5,Elevated-Temperature Electrochemical Manufacturing,0,0,8
1986,6,Ionic Liquids (All),0,0,447
1986,7,ILs in Electrochemistry,0,0,38
1986,8,ILs in Electrochemical Manufacturing,0,0,6
1986,9,Elevated-T IL Electrochemical Manufacturing,0,0,1
1987,0,Electrochemistry,1871,1871,5137
1987,1,Electrochemical Manufacturing,109,109,656
1987,2,Temperature in Electrochemistry,30,30,388
1987,3,Temperature in Electrochemical Manufacturing,0,0,77
1987,4,Elevated-Temperature in Electrochemistry,4,4,32
1987,5,Elevated-Temperature Electrochemical Manufacturing,0,0,7
1987,6,Ionic Liquids (All),0,0,517
1987,7,ILs in Electrochemistry,0,0,37
1987,8,ILs in Electrochemical Manufacturing,0,0,3
1988,0,Electrochemistry,1742,1742,5060
1988,1,Electrochemical Manufacturing,111,111,715
1988,2,Temperature in Electrochemistry,39,39,442
1988,3,Temperature in Electrochemical Manufacturing,3,3,99
1988,4,Elevated-Temperature in Electrochemistry,8,8,60
1988,5,Elevated-Temperature Electrochemical Manufacturing,2,2,18
1988,6,Ionic Liquids (All),0,0,534
1988,7,ILs in Electrochemistry,0,0,53
1988,8,ILs in Electrochemical Manufacturing,0,0,3
1989,0,Electrochemistry,1684,1677,5214
1989,1,Electrochemical Manufacturing,108,106,790
1989,2,Temperature in Electrochemistry,32,31,521
1989,3,Temperature in Electrochemical Manufacturing,2,2,128
1989,4,Elevated-Temperature in Electrochemistry,6,5,68
1989,5,Elevated-Temperature Electrochemical Manufacturing,1,1,18
1989,6,Ionic Liquids (All),0,0,499
1989,7,ILs in Electrochemistry,0,0,30
1989,8,ILs in Electrochemical Manufacturing,0,0,7
1990,0,Electrochemistry,1969,1890,6021
1990,1,Electrochemical Manufacturing,150,142,1014
1990,2,Temperature in Electrochemistry,38,28,609
1990,3,Temperature in Electrochemical Manufacturing,2,1,143
1990,4,Elevated-Temperature in Electrochemistry,7,6,86
1990,5,Elevated-Temperature Electrochemical Manufacturing,0,0,19
1990,6,Ionic Liquids (All),0,0,551
1990,7,ILs in Electrochemistry,0,0,49
1990,8,ILs in Electrochemical Manufacturing,0,0,4
1990,9,Elevated-T IL Electrochemical Manufacturing,0,0,1
1991,0,Electrochemistry,3003,1921,7435
1991,1,Electrochemical Manufacturing,227,131,1178
1991,2,Temperature in Electrochemistry,74,28,875
1991,3,Temperature in Electrochemical Manufacturing,5,3,194
1991,4,Elevated-Temperature in Electrochemistry,11,6,126
1991,5,Elevated-Temperature Electrochemical Manufacturing,3,3,30
1991,6,Ionic Liquids (All),0,0,783
1991,7,ILs in Electrochemistry,0,0,54
1991,8,ILs in Electrochemical Manufacturing,0,0,8
1992,0,Electrochemistry,2963,1840,7300
1992,1,Electrochemical Manufacturing,255,141,1201
1992,2,Temperature in Electrochemistry,106,27,901
1992,3,Temperature in Electrochemical Manufacturing,7,1,217
1992,4,Elevated-Temperature in Electrochemistry,15,8,103
1992,5,Elevated-Temperature Electrochemical Manufacturing,2,1,23
1992,6,Ionic Liquids (All),0,0,793
1992,7,ILs in Electrochemistry,0,0,68
1992,8,ILs in Electrochemical Manufacturing,0,0,11
1993,0,Electrochemistry,3203,2021,7938
1993,1,Electrochemical Manufacturing,251,145,1442
1993,2,Temperature in Electrochemistry,90,31,988
1993,3,Temperature in Electrochemical Manufacturing,3,2,264
1993,4,Elevated-Temperature in Electrochemistry,13,8,139
1993,5,Elevated-Temperature Electrochemical Manufacturing,0,0,33
1993,6,Ionic Liquids (All),0,0,825
1993,7,ILs in Electrochemistry,0,0,73
1993,8,ILs in Electrochemical Manufacturing,0,0,8
1994,0,Electrochemistry,3319,1962,8089
1994,1,Electrochemical Manufacturing,285,166,1509
1994,2,Temperature in Electrochemistry,115,24,1083
1994,3,Temperature in Electrochemical Manufacturing,8,3,273
1994,4,Elevated-Temperature in Electrochemistry,18,5,156
1994,5,Elevated-Temperature Electrochemical Manufacturing,2,1,50
1994,6,Ionic Liquids (All),0,0,864
1994,7,ILs in Electrochemistry,0,0,86
1994,8,ILs in Electrochemical Manufacturing,0,0,11
1995,0,Electrochemistry,3569,2189,8987
1995,1,Electrochemical Manufacturing,286,153,1969
1995,2,Temperature in Electrochemistry,112,33,1325
1995,3,Temperature in Electrochemical Manufacturing,7,4,393
1995,4,Elevated-Temperature in Electrochemistry,18,5,160
1995,5,Elevated-Temperature Electrochemical Manufacturing,2,2,48
1995,6,Ionic Liquids (All),0,0,962
1995,7,ILs in Electrochemistry,0,0,107
1995,8,ILs in Electrochemical Manufacturing,0,0,24
1995,9,Elevated-T IL Electrochemical Manufacturing,0,0,2
1996,0,Electrochemistry,3804,2332,9878
1996,1,Electrochemical Manufacturing,352,210,2359
1996,2,Temperature in Electrochemistry,137,50,1676
1996,3,Temperature in Electrochemical Manufacturing,17,12,582
1996,4,Elevated-Temperature in Electrochemistry,29,17,238
1996,5,Elevated-Temperature Electrochemical Manufacturing,8,8,104
1996,6,Ionic Liquids (All),0,0,1026
1996,7,ILs in Electrochemistry,0,0,122
1996,8,ILs in Electrochemical Manufacturing,0,0,36
1997,0,Electrochemistry,4507,2657,11476
1997,1,Electrochemical Manufacturing,425,233,3250
1997,2,Temperature in Electrochemistry,162,51,1976
1997,3,Temperature in Electrochemical Manufacturing,23,16,820
1997,4,Elevated-Temperature in Electrochemistry,29,15,301
1997,5,Elevated-Temperature Electrochemical Manufacturing,7,6,134
1997,6,Ionic Liquids (All),0,0,1136
1997,7,ILs in Electrochemistry,0,0,142
1997,8,ILs in Electrochemical Manufacturing,0,0,46
1997,9,Elevated-T IL Electrochemical Manufacturing,0,0,2
1998,0,Electrochemistry,4543,2687,11298
1998,1,Electrochemical Manufacturing,450,274,2893
1998,2,Temperature in Electrochemistry,174,46,1910
1998,3,Temperature in Electrochemical Manufacturing,19,6,632
1998,4,Elevated-Temperature in Electrochemistry,27,11,309
1998,5,Elevated-Temperature Electrochemical Manufacturing,2,2,130
1998,6,Ionic Liquids (All),0,0,1226
1998,7,ILs in Electrochemistry,0,0,133
1998,8,ILs in Electrochemical Manufacturing,0,0,37
1998,9,Elevated-T IL Electrochemical Manufacturing,0,0,5
1999,0,Electrochemistry,4749,2646,11950
1999,1,Electrochemical Manufacturing,512,252,3595
1999,2,Temperature in Electrochemistry,161,39,2312
1999,3,Temperature in Electrochemical Manufacturing,20,4,1020
1999,4,Elevated-Temperature in Electrochemistry,23,9,489
1999,5,Elevated-Temperature Electrochemical Manufacturing,3,1,326
1999,6,Ionic Liquids (All),0,0,1295
1999,7,ILs in Electrochemistry,0,0,163
1999,8,ILs in Electrochemical Manufacturing,0,0,63
1999,9,Elevated-T IL Electrochemical Manufacturing,0,0,15
2000,0,Electrochemistry,4788,2673,12526
2000,1,Electrochemical Manufacturing,474,239,3686
2000,2,Temperature in Electrochemistry,199,42,2353
2000,3,Temperature in Electrochemical Manufacturing,23,8,988
2000,4,Elevated-Temperature in Electrochemistry,34,9,484
2000,5,Elevated-Temperature Electrochemical Manufacturing,3,2,269
2000,6,Ionic Liquids (All),0,0,1359
2000,7,ILs in Electrochemistry,0,0,205
2000,8,ILs in Electrochemical Manufacturing,0,0,43
2000,9,Elevated-T IL Electrochemical Manufacturing,0,0,6
2001,0,Electrochemistry,5090,2783,13046
2001,1,Electrochemical Manufacturing,554,286,3894
2001,2,Temperature in Electrochemistry,232,57,2313
2001,3,Temperature in Electrochemical Manufacturing,23,7,975
2001,4,Elevated-Temperature in Electrochemistry,36,11,421
2001,5,Elevated-Temperature Electrochemical Manufacturing,4,2,242
2001,6,Ionic Liquids (All),0,0,1578
2001,7,ILs in Electrochemistry,0,0,198
2001,8,ILs in Electrochemical Manufacturing,0,0,61
2001,9,Elevated-T IL Electrochemical Manufacturing,0,0,4
2002,0,Electrochemistry,5309,3010,14513
2002,1,Electrochemical Manufacturing,593,282,4487
2002,2,Temperature in Electrochemistry,250,52,2715
2002,3,Temperature in Electrochemical Manufacturing,32,4,1191
2002,4,Elevated-Temperature in Electrochemistry,37,15,483
2002,5,Elevated-Temperature Electrochemical Manufacturing,3,2,280
2002,6,Ionic Liquids (All),0,0,2099
2002,7,ILs in Electrochemistry,0,0,305
2002,8,ILs in Electrochemical Manufacturing,0,0,92
2002,9,Elevated-T IL Electrochemical Manufacturing,0,0,6
2003,0,Electrochemistry,5733,3115,16241
2003,1,Electrochemical Manufacturing,625,292,5209
2003,2,Temperature in Electrochemistry,274,60,3106
2003,3,Temperature in Electrochemical Manufacturing,31,5,1385
2003,4,Elevated-Temperature in Electrochemistry,48,15,522
2003,5,Elevated-Temperature Electrochemical Manufacturing,4,2,296
2003,6,Ionic Liquids (All),0,0,2381
2003,7,ILs in Electrochemistry,0,0,333
2003,8,ILs in Electrochemical Manufacturing,0,0,118
2003,9,Elevated-T IL Electrochemical Manufacturing,0,0,9
2004,0,Electrochemistry,6405,3481,17766
2004,1,Electrochemical Manufacturing,718,349,5668
2004,2,Temperature in Electrochemistry,317,55,3511
2004,3,Temperature in Electrochemical Manufacturing,40,4,1546
2004,4,Elevated-Temperature in Electrochemistry,49,17,647
2004,5,Elevated-Temperature Electrochemical Manufacturing,4,1,378
2004,6,Ionic Liquids (All),0,0,2756
2004,7,ILs in Electrochemistry,0,0,409
2004,8,ILs in Electrochemical Manufacturing,0,0,132
2004,9,Elevated-T IL Electrochemical Manufacturing,0,0,11
2005,0,Electrochemistry,7134,3811,19611
2005,1,Electrochemical Manufacturing,888,441,6844
2005,2,Temperature in Electrochemistry,380,80,4127
2005,3,Temperature in Electrochemical Manufacturing,51,10,1951
2005,4,Elevated-Temperature in Electrochemistry,69,18,726
2005,5,Elevated-Temperature Electrochemical Manufacturing,6,2,455
2005,6,Ionic Liquids (All),0,0,3280
2005,7,ILs in Electrochemistry,0,0,470
2005,8,ILs in Electrochemical Manufacturing,0,0,174
2005,9,Elevated-T IL Electrochemical Manufacturing,0,0,10
2006,0,Electrochemistry,8062,4240,21262
2006,1,Electrochemical Manufacturing,1054,497,8028
2006,2,Temperature in Electrochemistry,477,89,4619
2006,3,Temperature in Electrochemical Manufacturing,63,10,2407
2006,4,Elevated-Temperature in Electrochemistry,87,17,869
2006,5,Elevated-Temperature Electrochemical Manufacturing,6,1,586
2006,6,Ionic Liquids (All),0,0,4088
2006,7,ILs in Electrochemistry,0,0,592
2006,8,ILs in Electrochemical Manufacturing,0,0,234
2006,9,Elevated-T IL Electrochemical Manufacturing,0,0,15
2007,0,Electrochemistry,9260,4805,23856
2007,1,Electrochemical Manufacturing,1254,574,9231
2007,2,Temperature in Electrochemistry,559,109,5450
2007,3,Temperature in Electrochemical Manufacturing,86,11,2797
2007,4,Elevated-Temperature in Electrochemistry,122,32,1026
2007,5,Elevated-Temperature Electrochemical Manufacturing,16,3,684
2007,6,Ionic Liquids (All),0,0,4528
